ETF,Statistic,MLP,RNN,PSN
SPY,MAE,0.005920293948835263,0.006682877105739592,0.008358754218962271
SPY,MAPE,2.0169310427796736,3.072235433236072,5.145145620889453
SPY,RMSE,6.300256743021641e-05,7.321054642714427e-05,9.60314908660922e-05
SPY,THEIL-U,0.7186397487862425,0.7235269302708234,0.7105146522874617
DIA,MAE,0.006100773912678072,0.006445471003675595,0.006784945580882724
DIA,MAPE,2.191323707496957,2.5480422794697057,3325712815987.89
DIA,RMSE,6.642152299584254e-05,7.054615798105382e-05,6.873478440736889e-05
DIA,THEIL-U,0.6884930997586576,0.7241334308816608,0.7253469630948763
QQQ,MAE,0.007633428120045737,0.00830778502077887,0.007412707132298115
QQQ,MAPE,2.4926390196632466,2.7106584793045148,1788648331337.328
QQQ,RMSE,0.00010077557857779999,0.00011610670676525468,8.485136205445687e-05
QQQ,THEIL-U,0.7079540157349306,0.7252080551084603,0.7661911578175186
